Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C1;10nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;221.742.000;-148.336.000;90.000.000;top
C2;10uF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;240.411.000;-120.289.000;-90.000.000;top
C3;10uF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;225.171.000;-120.269.000;-90.000.000;top
C4;10uF;CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder;215.011.000;-120.309.000;-90.000.000;top
C5;10uF;CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder;230.124.000;-120.396.000;-90.000.000;top
C6;330p-560p;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;85.344.000;-122.428.000;90.000.000;top
C7;330p-560p;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;85.344.000;-114.046.000;-90.000.000;top
C8;330nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;228.600.000;-100.584.000;-90.000.000;top
C9;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;217.678.000;-100.584.000;-90.000.000;top
C10;1uF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;197.358.000;-141.986.000;180.000.000;top
C11;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;85.344.000;-117.856.000;90.000.000;top
C12;100pF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;89.408.000;-114.046.000;90.000.000;top
C13;100pF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;89.408.000;-122.428.000;90.000.000;top
C14;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;95.504.000;-122.428.000;-90.000.000;top
C15;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;95.504.000;-114.046.000;90.000.000;top
C16;0.1uF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;192.532.000;-137.414.000;0.000000;top
C17;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;160.274.000;-87.884.000;-90.000.000;top
C18;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;205.486.000;-105.206.800;180.000.000;top
C19;10nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;192.532.000;-135.382.000;0.000000;top
C20;10nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;197.739.000;-118.999.000;-90.000.000;top
C21;0.1uF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;195.453.000;-118.999.000;-90.000.000;top
D1;1N4148;D_SOD-323_HandSoldering;163.766.500;-129.794.000;90.000.000;top
D2;LED_MIDI_IN;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;63.500.000;-117.139.000;-90.000.000;top
D3;LED_MIDI_OUT;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;63.500.000;-111.451.332;-90.000.000;top
D4;LED_AUDIO;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;63.500.000;-105.763.666;-90.000.000;top
D5;LED_CLIP;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;63.500.000;-100.076.000;-90.000.000;top
D6;1N5819/SS14;D_SMA-SMB_Universal_Handsoldering;233.680.000;-132.080.000;-90.000.000;top
D7;LED_POWER;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;63.500.000;-94.361.000;-90.000.000;top
D8;1N5819/SS14;D_SMA-SMB_Universal_Handsoldering;232.664.000;-100.436.000;-90.000.000;top
D9;1N5819/SS14;D_SMA-SMB_Universal_Handsoldering;226.060.000;-132.080.000;-90.000.000;top
D10;1N5819/SS14;D_SMA-SMB_Universal_Handsoldering;220.091.000;-109.728.000;-90.000.000;top
FB1;Ferrite_Bead;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;147.574.000;-129.540.000;90.000.000;top
FB2;Ferrite_Bead;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;114.808.000;-129.540.000;90.000.000;top
FB3;Ferrite_Bead;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;173.482.000;-129.815.500;90.000.000;top
FB4;Ferrite_Bead;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;160.528.000;-129.794.000;90.000.000;top
