Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",221.742000,-148.336000,90.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",240.411000,-120.289000,-90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",225.171000,-120.269000,-90.000000,top
"C4","10uF","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",215.011000,-120.309000,-90.000000,top
"C5","10uF","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",230.124000,-120.396000,-90.000000,top
"C6","330p-560p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.344000,-122.428000,90.000000,top
"C7","330p-560p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.344000,-114.046000,-90.000000,top
"C8","330nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",228.600000,-100.584000,-90.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",217.678000,-100.584000,-90.000000,top
"C10","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",197.358000,-141.986000,180.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.344000,-117.856000,90.000000,top
"C12","100pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.408000,-114.046000,90.000000,top
"C13","100pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.408000,-122.428000,90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.504000,-122.428000,-90.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",95.504000,-114.046000,90.000000,top
"C16","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",192.532000,-137.414000,0.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.274000,-87.884000,-90.000000,top
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",205.486000,-105.206800,180.000000,top
"C19","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",192.532000,-135.382000,0.000000,top
"C20","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",197.739000,-118.999000,-90.000000,top
"C21","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",195.453000,-118.999000,-90.000000,top
"D1","1N4148","D_SOD-323_HandSoldering",163.766500,-129.794000,90.000000,top
"D2","LED_MIDI_IN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.500000,-117.139000,-90.000000,top
"D3","LED_MIDI_OUT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.500000,-111.451332,-90.000000,top
"D4","LED_AUDIO","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.500000,-105.763666,-90.000000,top
"D5","LED_CLIP","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.500000,-100.076000,-90.000000,top
"D6","1N5819/SS14","D_SMA-SMB_Universal_Handsoldering",233.680000,-132.080000,-90.000000,top
"D7","LED_POWER","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.500000,-94.361000,-90.000000,top
"D8","1N5819/SS14","D_SMA-SMB_Universal_Handsoldering",232.664000,-100.436000,-90.000000,top
"D9","1N5819/SS14","D_SMA-SMB_Universal_Handsoldering",226.060000,-132.080000,-90.000000,top
"D10","1N5819/SS14","D_SMA-SMB_Universal_Handsoldering",220.091000,-109.728000,-90.000000,top
"FB1","Ferrite_Bead","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.574000,-129.540000,90.000000,top
"FB2","Ferrite_Bead","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.808000,-129.540000,90.000000,top
"FB3","Ferrite_Bead","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.482000,-129.815500,90.000000,top
"FB4","Ferrite_Bead","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.528000,-129.794000,90.000000,top
"FB5","Ferrite_Bead","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.668000,-129.540000,-90.000000,top
